ExamSet,DifficultyCode,Difficulty,QuestionNumber,Domain,Question,CorrectOptionLetter,RemediationReference
1,A,Standard,1,Data Modeling,Why are geospatial content standards useful?,A,GIS&T BoK remediation: [DM-07-058] Geospatial Content Standards — https://gistbok-topics.ucgis.org/DM-07-058 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,2,Analytical Methods & GeoComputation,A contour line connects locations of what?,D,"GIS&T BoK remediation: [AM-04-067] Gridding, Interpolation, and Contouring — https://gistbok-topics.ucgis.org/AM-04-067 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC"
1,A,Standard,3,Analytical Methods & GeoComputation,A watershed boundary should be used to trim a soil polygon layer to only the watershed area. Which tool is most appropriate?,D,GIS&T BoK remediation: [AM-02-004] Overlay — https://gistbok-topics.ucgis.org/AM-02-004 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,4,Analytical Methods & GeoComputation,Two conservation-zone polygon layers must be combined so all areas from either layer are retained. Which overlay is best?,B,GIS&T BoK remediation: [AM-02-004] Overlay — https://gistbok-topics.ucgis.org/AM-02-004 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,5,Conceptual Foundations,What does distance decay describe?,D,GIS&T BoK remediation: [FC-05-017] Proximity and Distance Decay — https://gistbok-topics.ucgis.org/FC-05-017 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,6,Conceptual Foundations,Population relationships change when data are aggregated into different zoning schemes. Which issue is this?,B,GIS&T BoK remediation: [FC-07-026] Problems of Scale and Zoning — https://gistbok-topics.ucgis.org/FC-07-026 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,7,Conceptual Foundations,"In set theory, what does A ∪ B represent?",C,GIS&T BoK remediation: [FC-06-011] Set Theory — https://gistbok-topics.ucgis.org/FC-06-011 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,8,Design of Systems,What is GDAL/OGR commonly used for?,B,GIS&T BoK remediation: [PD-05-033] GDAL/OGR and Geospatial Data IO Libraries — https://gistbok-topics.ucgis.org/PD-05-033 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,9,Cartography & Visualization,"For nominal categories, which visual variable is generally effective?",B,GIS&T BoK remediation: [CV-03-008] Symbolization and the Visual Variables — https://gistbok-topics.ucgis.org/CV-03-008 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,10,Thematic & Application Domains,A campus team wants to assess walkability between buildings using actual paths and barriers. Which analysis is appropriate?,C,GIS&T BoK remediation: [DA-003] GIS&T in Architecture — https://gistbok-topics.ucgis.org/DA-003 | Blueprint domain resource: https://geospacebok.eu/TA
